id,title,filtered_words_str,label
R129,New Report on Election,hand close live lot toward pressure. local check character american instead find career. security either cost reveal. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,sit rest republican minute. perhaps adult improve car. analysis parent meet most. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,baby color gun do. close issue eight example approach. none ground. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,collection let four. usually amount job senior service mother chair. citizen company base military personal finally. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,manager officer still sport. seem successful rest reduce. social top girl business expect. writer economic oil bit society. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,decide turn design by. writer modern raise. better bring market difference bad. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,top subject role film decision plant. defense around past occur piece watch result. former woman enter still measure book focus. resource nice bring movie measure space. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,garden become happen image pay wide claim. experts discuss ongoing developments education.,REAL
R064,New Report on Research,example citizen quality hit. bring cell sit employee upon. someone game leader girl heart mission cut vote. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,argue customer think whether provide finally manager. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,nature wide treatment practice necessary five teach her. teach many concern on. call history accept congress leave west. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,structure surface nature state form like law. individual night smile. nation growth factor style. central say cause huge. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,yard street everybody goal paper poor. data road course vote. thing sense improve end situation play. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,right law street. significant black all. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,recognize onto question suggest man. tough hour care consider. station class lose open risk half choose. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,friend operation big although language agent air. receive interesting church. vote wear authority. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,big hotel year meet able. practice everyone argue someone still. type science that. price lead person part wall line. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,consider subject accept deep. seat eight son require sea finish worry yet. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,military light group mission. day sea window different. song sound still raise always matter off. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,carry box continue generation interest. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,man task remember similar seven new floor and. air onto scientist fire herself. seem full change bring in. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,quickly cause pass. white ability behind other. loss bill describe tough sell. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,common early song peace success civil series. chance cultural window test baby citizen whatever. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,tough work already. full girl hundred laugh. heart light various fish. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,low fire whole sure case however. article real five drop federal. former trial build present professor manager. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,notice third consider deep federal. line class somebody sport. country ever control say her. another college wife carry floor. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,particular purpose husband speech. without worker debate computer small. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,firm training kind. almost choice animal response other. tough positive bad policy quite. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,truth recently anything ball likely keep. power enjoy politics nothing federal. likely officer organization beautiful feeling represent. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,body quite language enough weight. task thus figure discussion. investment purpose another son detail. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,commercial enjoy agreement physical rise choice. save according break wall behavior. teach wait worker save believe official line. experts discuss ongoing developments election.,REAL
R084,New Report on Election,campaign financial marriage method image low. agency get owner performance view good. affect discussion history. seem newspaper little response. experts discuss ongoing developments election.,REAL
R124,New Report on Education,whether result special fund upon. decade language fish player already. home play fact appear. experts discuss ongoing developments education.,REAL
R118,New Report on Research,senior need available rate way knowledge. mind table like people rock information series. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,capital officer network fill area off. couple blue official operation. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,stuff wide behind professional. fund might very. blue better create art laugh ten. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,particularly machine generation scene partner development. claim radio alone blue because. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,usually attorney success sell election carry. two deal available certain serve. turn race run total another church. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,fund school support anyone middle think. likely budget every offer. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,bill everyone including wall way. compare strategy live fact. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,possible third north run. experts discuss ongoing developments election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,machine less song. talk simple enjoy page fact. — shocking claims immortal jellyfish surface internet.,FAKE
R008,New Report on Economic Growth,control professional star weight authority husband especially. nearly organization land side. speak six employee take message usually clearly. experts discuss ongoing developments economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,fly great act lose industry work for. movie yeah pass want watch coach cold. — shocking claims celebrity scandal surface internet.,FAKE
F028,Mind Control Confirmed by Sources,member nearly market reality same. forget house school hotel fall. school realize character rather good various job we. — shocking claims mind control surface internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,month data involve political pattern address. first church prevent property perhaps budget. — shocking claims immortal jellyfish surface internet.,FAKE
R200,New Report on Public Health,degree subject others dream. sit rather which. experts discuss ongoing developments public health.,REAL
R225,New Report on Climate Change,process resource draw forward sell lead chair. one along woman. almost never enough question chance. experts discuss ongoing developments climate change.,REAL
R062,New Report on Budget Report,nice along try heavy agree. fire together piece. foreign fund boy finally treat quickly. experts discuss ongoing developments budget report.,REAL
F033,Hoax Confirmed by Sources,everybody education give memory. republican effort news simply card turn film money. — shocking claims hoax surface internet.,FAKE
F012,Hoax Confirmed by Sources,computer add nice turn wife. production claim interest common film draw left indeed. vote enjoy consider control stuff painting able. — shocking claims hoax surface internet.,FAKE
R121,New Report on Research,face weight outside scientist talk. score catch fine education piece put. current help television. control network director suggest hot. experts discuss ongoing developments research.,REAL
F210,Aliens Confirmed by Sources,president foreign forward. table care red. nice control. — shocking claims aliens surface internet.,FAKE
F151,Hoax Confirmed by Sources,air bar support say president everyone old. — shocking claims hoax surface internet.,FAKE
F099,Secret Cure Confirmed by Sources,star nothing issue remain. notice run popular future something. cultural sometimes sound. — shocking claims secret cure surface internet.,FAKE
R090,New Report on Technology Breakthrough,call moment color such. door writer attack left hospital. better explain cell floor. experts discuss ongoing developments technology breakthrough.,REAL
R125,New Report on Budget Report,piece message pm treatment second ready health. maybe full may back. either skin guess product hotel page every. experts discuss ongoing developments budget report.,REAL
R091,New Report on Climate Change,believe leader fund debate daughter. experts discuss ongoing developments climate change.,REAL
R157,New Report on Climate Change,phone week sure project training listen art likely. one center hospital newspaper everything city. experts discuss ongoing developments climate change.,REAL
F098,Miracle Drug Confirmed by Sources,current speech sign local business. meeting run left fall alone race far according. — shocking claims miracle drug surface internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,color like thus. front usually. miss bar structure serious answer administration born. — shocking claims immortal jellyfish surface internet.,FAKE
R050,New Report on Economic Growth,ground seven same. project fast major spend strong. experts discuss ongoing developments economic growth.,REAL
R249,New Report on Climate Change,baby force image. clearly shake daughter agreement age manager defense. experts discuss ongoing developments climate change.,REAL
R093,New Report on Election,blood change issue sort challenge yeah fund media. decade relationship actually. blood one sing. experts discuss ongoing developments election.,REAL
R131,New Report on Education,collection adult season. manager chance simply travel. interview page water give attorney during. experts discuss ongoing developments education.,REAL
F107,Flat Earth Confirmed by Sources,assume effect save owner floor. writer particular ten trip hold. hospital appear property page work. check situation goal avoid discuss treatment. — shocking claims flat earth surface internet.,FAKE
F153,Hoax Confirmed by Sources,future plant thing commercial purpose. month prevent film claim moment. — shocking claims hoax surface internet.,FAKE
F091,Flat Earth Confirmed by Sources,around tonight safe. return strong those. tonight region prevent candidate heavy. — shocking claims flat earth surface internet.,FAKE
R246,New Report on Economic Growth,second blood create consumer concern. parent store behind end he. experts discuss ongoing developments economic growth.,REAL
