id,filtered_words_str,features_str,label_index
R129,hand close live lot toward pressure. local check character american instead find career. security either cost reveal. experts discuss ongoing developments election.,"(10000,[228,493,740,2006,2634,3194,3423,3497,3556,3614,3901,4490,4506,4527,4687,4867,4943,7510,7652,9118,9126,9462],[3.8187108282864943,4.42484663185681,5.117993812416755,4.607168188650764,4.137164559405029,4.607168188650764,4.137164559405029,3.7316994512968646,2.8844015909096608,0.6792718340663283,4.270695952029551,4.270695952029551,0.691153161953081,4.019381523748645,0.691153161953081,3.914021008090819,3.914021008090819,4.42484663185681,5.117993812416755,5.117993812416755,3.914021008090819,0.691153161953081])",1.0
R227,sit rest republican minute. perhaps adult improve car. analysis parent meet most. experts discuss ongoing developments climate change.,"(10000,[72,821,1259,1296,1599,2059,2408,2708,3614,4506,4616,4687,6946,7175,8290,9462,9932,9940],[3.8187108282864943,2.849310271098391,3.8187108282864943,4.42484663185681,5.117993812416755,2.6902455764687034,4.137164559405029,3.6516567436233283,0.6792718340663283,0.691153161953081,4.137164559405029,0.691153161953081,3.7316994512968646,5.523458920524919,4.607168188650764,0.691153161953081,4.830311739964974,4.270695952029551])",1.0
F231,baby color gun do. close issue eight example approach. none ground. — shocking claims aliens surface internet.,"(10000,[503,650,1348,1862,3497,5850,6434,6616,7281,7936,8313,8338,8482,8678,9606,9831,9832],[0.691153161953081,2.958509563063383,4.019381523748645,5.523458920524919,3.7316994512968646,0.691153161953081,4.830311739964974,3.914021008090819,0.6871770135734415,0.691153161953081,4.270695952029551,0.691153161953081,4.270695952029551,4.607168188650764,4.019381523748645,4.42484663185681,4.137164559405029])",0.0
R066,collection let four. usually amount job senior service mother chair. citizen company base military personal finally. experts discuss ongoing developments policy.,"(10000,[8,354,557,942,1584,1619,2252,2990,3614,4144,4506,4687,5877,6944,7222,7939,7960,8173,8209,8267,9462],[4.270695952029551,4.137164559405029,4.137164559405029,4.270695952029551,5.117993812416755,4.830311739964974,4.830311739964974,3.914021008090819,0.6792718340663283,4.137164559405029,0.691153161953081,0.691153161953081,4.42484663185681,2.8154087194227095,4.42484663185681,4.607168188650764,5.523458920524919,3.8187108282864943,4.830311739964974,4.270695952029551,0.691153161953081])",1.0
F095,manager officer still sport. seem successful rest reduce. social top girl business expect. writer economic oil bit society. — shocking claims mind control surface internet.,"(10000,[503,696,823,1029,1208,1652,1989,2111,2588,2708,3184,3712,5248,5328,5374,5659,5850,6035,6077,6906,7281,7936,8219,8338,9144],[0.691153161953081,4.137164559405029,3.7316994512968646,3.914021008090819,2.661258039595451,3.8187108282864943,4.42484663185681,5.117993812416755,4.607168188650764,3.6516567436233283,2.920769235080536,4.137164559405029,5.523458920524919,3.4440173788450834,4.270695952029551,4.270695952029551,0.691153161953081,4.019381523748645,5.523458920524919,4.270695952029551,0.6871770135734415,0.691153161953081,5.523458920524919,0.691153161953081,2.7508701982851385])",0.0
R174,decide turn design by. writer modern raise. better bring market difference bad. experts discuss ongoing developments policy.,"(10000,[1804,2336,2543,2657,3057,3614,3886,3922,3935,4506,4687,6906,6944,7593,7866,8293,9462],[4.830311739964974,4.137164559405029,3.2208738275308737,3.577548771469606,3.6516567436233283,0.6792718340663283,4.607168188650764,5.117993812416755,3.6516567436233283,0.691153161953081,0.691153161953081,4.270695952029551,2.8154087194227095,4.830311739964974,4.42484663185681,4.607168188650764,0.691153161953081])",1.0
R201,top subject role film decision plant. defense around past occur piece watch result. former woman enter still measure book focus. resource nice bring movie measure space. experts discuss ongoing developments public health.,"(10000,[393,528,1098,1439,1670,1770,1921,2193,2708,3057,3133,3350,3370,3543,3614,3712,4160,4506,4563,4687,5003,5328,6197,6219,7178,7435,7670,8016,8655,9275,9462],[4.607168188650764,8.541391904059102,3.577548771469606,4.42484663185681,4.42484663185681,3.125563647726549,4.019381523748645,5.117993812416755,3.6516567436233283,3.6516567436233283,4.42484663185681,4.137164559405029,4.137164559405029,4.270695952029551,0.6792718340663283,4.137164559405029,4.42484663185681,0.691153161953081,4.019381523748645,0.691153161953081,3.914021008090819,3.4440173788450834,3.914021008090819,3.0385522707369192,4.830311739964974,4.270695952029551,5.523458920524919,5.117993812416755,4.607168188650764,4.607168188650764,0.691153161953081])",1.0
R072,garden become happen image pay wide claim. experts discuss ongoing developments education.,"(10000,[1876,2836,3614,4506,4687,4704,4897,5047,5303,5936,7090,9462],[5.523458920524919,3.7316994512968646,0.6792718340663283,0.691153161953081,0.691153161953081,4.42484663185681,5.117993812416755,2.6902455764687034,3.8187108282864943,4.270695952029551,4.42484663185681,0.691153161953081])",1.0
R064,example citizen quality hit. bring cell sit employee upon. someone game leader girl heart mission cut vote. experts discuss ongoing developments research.,"(10000,[8,885,1029,1206,1526,3057,3210,3506,3614,3671,4506,4687,5087,6069,6548,6878,6946,7066,8975,9462,9606,9808],[4.270695952029551,5.117993812416755,3.914021008090819,4.270695952029551,4.270695952029551,3.6516567436233283,4.019381523748645,4.830311739964974,0.6792718340663283,4.137164559405029,0.691153161953081,0.691153161953081,4.830311739964974,4.270695952029551,4.137164559405029,5.117993812416755,3.7316994512968646,2.8844015909096608,4.607168188650764,0.691153161953081,4.019381523748645,4.137164559405029])",1.0
F037,argue customer think whether provide finally manager. — shocking claims miracle drug surface internet.,"(10000,[503,1256,1413,1817,2335,3406,3730,5850,5946,7161,7281,7860,7936,8338],[0.691153161953081,3.125563647726549,4.270695952029551,4.607168188650764,4.137164559405029,4.270695952029551,4.607168188650764,0.691153161953081,4.42484663185681,5.117993812416755,0.6871770135734415,2.997730276216664,0.691153161953081,0.691153161953081])",0.0
