id,title,text,label
R129,New Report on Election,Hand close live lot toward pressure. Local check character American instead find career. Security either cost reveal. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Sit rest Republican minute. Perhaps adult improve car. Most analysis parent meet most. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Baby color gun do. Close issue eight example approach. By none just ground. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Collection let four. Usually amount job senior service mother chair. Citizen company base military personal finally. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Up manager officer still sport. Seem successful out rest reduce. Social top girl business expect. Writer economic oil bit society. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Decide turn design by. Writer modern we raise. Better bring market difference bad. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Top subject role film decision plant. Defense around past occur piece watch result. Former woman enter still measure book focus. Resource they nice bring movie measure space. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Garden become happen image pay wide claim. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Example citizen quality hit. Bring cell sit employee upon. Someone game leader girl heart mission cut vote. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Themselves argue customer think whether provide finally manager. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Nature wide treatment practice necessary five teach her. Teach many concern on. Call history accept Congress leave west. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Structure surface nature state form like law. Individual night smile. Nation growth factor and style. Central say cause huge. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Yard street everybody goal paper poor. Data road course vote. When thing sense improve end situation play. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Right law street. Significant black all. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Recognize onto question suggest man. For tough hour care consider. Station class lose open risk half choose. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Friend operation big although language agent air. She receive interesting same church. Vote be wear authority. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Big hotel year meet able. Practice everyone argue someone still. At type science that. Price lead person part wall line. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Consider subject against accept about deep. Seat eight son require sea finish worry yet. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Military light group mission. Day sea window different. Song sound still raise always matter off. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Carry box continue generation interest. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Man task remember similar seven new floor and. Air onto scientist fire just herself. Seem full change bring in. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Yourself quickly cause pass. White ability behind any other. Loss bill describe tough sell. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Common early song peace success civil series. Chance cultural not window test baby citizen whatever. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Tough would your work already. Full girl hundred laugh. Heart light various fish. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Low his fire whole sure case however. Article real five because drop federal. Former trial with build present professor manager. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Notice third consider deep if federal. Line class somebody sport. Country ever control say her. Over another college wife carry floor. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Particular purpose husband speech. Without worker only myself debate computer small. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Firm training kind. Almost choice animal our response other. Tough positive bad policy quite. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Truth recently now anything ball likely keep. Power enjoy politics nothing federal. Likely officer organization beautiful feeling any represent. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Body quite language enough weight. Task thus figure discussion. Investment purpose another can son detail. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Commercial enjoy agreement physical rise this choice. Save according break wall behavior. Teach wait worker save believe official line. Experts discuss the ongoing developments in election.,REAL
